Job started at: Mon Jun 29 21:44:25 CEST 2026
Node: lrdn2882.leonardo.local
Config path: configs/cifar10_vit_lejepa.yaml
Project dir: /leonardo_scratch/large/userexternal/apromots/doubleN/cv
Venv dir: /leonardo_scratch/large/userexternal/apromots/doubleN/cv/.venv
Experiment name: experiment-c10-vit-lejepa-light-config
Mon Jun 29 21:44:25 2026       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.274.02             Driver Version: 535.274.02   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA A100-SXM-64GB           On  | 00000000:C8:00.0 Off |                    0 |
| N/A   42C    P0              60W / 457W |      0MiB / 65536MiB |      0%      Default |
|                                         |                      |             Disabled |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
LeJEPA pretraining method:
  architecture: vit_tiny_cifar
  sigreg_implementation: official
  num_global_views: 2
  num_local_views: 0
  stop_gradient: false
  teacher_student_or_ema: false
epoch=001 lejepa_loss=0.1065 pred=0.0034 sigreg=10.3083
epoch=002 lejepa_loss=0.0495 pred=0.0042 sigreg=4.5254
epoch=003 lejepa_loss=0.0375 pred=0.0046 sigreg=3.2928
epoch=004 lejepa_loss=0.0319 pred=0.0048 sigreg=2.7092
epoch=005 lejepa_loss=0.0286 pred=0.0049 sigreg=2.3754
epoch=006 lejepa_loss=0.0267 pred=0.0050 sigreg=2.1724
epoch=007 lejepa_loss=0.0252 pred=0.0050 sigreg=2.0199
epoch=008 lejepa_loss=0.0241 pred=0.0052 sigreg=1.8975
epoch=009 lejepa_loss=0.0233 pred=0.0053 sigreg=1.8081
epoch=010 lejepa_loss=0.0227 pred=0.0053 sigreg=1.7363
epoch=011 lejepa_loss=0.0222 pred=0.0054 sigreg=1.6830
epoch=012 lejepa_loss=0.0218 pred=0.0054 sigreg=1.6385
epoch=013 lejepa_loss=0.0218 pred=0.0056 sigreg=1.6274
epoch=014 lejepa_loss=0.0218 pred=0.0058 sigreg=1.6029
epoch=015 lejepa_loss=0.0213 pred=0.0057 sigreg=1.5523
epoch=016 lejepa_loss=0.0209 pred=0.0057 sigreg=1.5243
epoch=017 lejepa_loss=0.0204 pred=0.0057 sigreg=1.4763
epoch=018 lejepa_loss=0.0202 pred=0.0056 sigreg=1.4563
epoch=019 lejepa_loss=0.0202 pred=0.0057 sigreg=1.4512
epoch=020 lejepa_loss=0.0201 pred=0.0057 sigreg=1.4346
epoch=021 lejepa_loss=0.0199 pred=0.0057 sigreg=1.4241
epoch=022 lejepa_loss=0.0200 pred=0.0057 sigreg=1.4252
epoch=023 lejepa_loss=0.0200 pred=0.0058 sigreg=1.4188
epoch=024 lejepa_loss=0.0200 pred=0.0058 sigreg=1.4195
epoch=025 lejepa_loss=0.0198 pred=0.0057 sigreg=1.4040
epoch=026 lejepa_loss=0.0199 pred=0.0058 sigreg=1.4072
epoch=027 lejepa_loss=0.0201 pred=0.0058 sigreg=1.4320
epoch=028 lejepa_loss=0.0197 pred=0.0057 sigreg=1.3995
epoch=029 lejepa_loss=0.0196 pred=0.0057 sigreg=1.3874
epoch=030 lejepa_loss=0.0194 pred=0.0058 sigreg=1.3619
epoch=031 lejepa_loss=0.0191 pred=0.0058 sigreg=1.3301
epoch=032 lejepa_loss=0.0189 pred=0.0058 sigreg=1.3165
epoch=033 lejepa_loss=0.0190 pred=0.0058 sigreg=1.3231
epoch=034 lejepa_loss=0.0188 pred=0.0058 sigreg=1.3002
epoch=035 lejepa_loss=0.0189 pred=0.0058 sigreg=1.3192
epoch=036 lejepa_loss=0.0188 pred=0.0058 sigreg=1.3036
epoch=037 lejepa_loss=0.0187 pred=0.0058 sigreg=1.2935
epoch=038 lejepa_loss=0.0190 pred=0.0058 sigreg=1.3182
epoch=039 lejepa_loss=0.0185 pred=0.0057 sigreg=1.2731
epoch=040 lejepa_loss=0.0184 pred=0.0057 sigreg=1.2711
epoch=041 lejepa_loss=0.0184 pred=0.0057 sigreg=1.2710
epoch=042 lejepa_loss=0.0184 pred=0.0059 sigreg=1.2509
epoch=043 lejepa_loss=0.0184 pred=0.0059 sigreg=1.2444
epoch=044 lejepa_loss=0.0182 pred=0.0058 sigreg=1.2324
epoch=045 lejepa_loss=0.0180 pred=0.0058 sigreg=1.2174
epoch=046 lejepa_loss=0.0179 pred=0.0057 sigreg=1.2151
epoch=047 lejepa_loss=0.0178 pred=0.0057 sigreg=1.2155
epoch=048 lejepa_loss=0.0177 pred=0.0056 sigreg=1.2071
epoch=049 lejepa_loss=0.0176 pred=0.0056 sigreg=1.2019
epoch=050 lejepa_loss=0.0175 pred=0.0056 sigreg=1.1956
epoch=051 lejepa_loss=0.0174 pred=0.0055 sigreg=1.1852
epoch=052 lejepa_loss=0.0175 pred=0.0056 sigreg=1.1899
epoch=053 lejepa_loss=0.0174 pred=0.0056 sigreg=1.1790
epoch=054 lejepa_loss=0.0176 pred=0.0056 sigreg=1.1923
epoch=055 lejepa_loss=0.0176 pred=0.0056 sigreg=1.1948
epoch=056 lejepa_loss=0.0173 pred=0.0055 sigreg=1.1802
epoch=057 lejepa_loss=0.0173 pred=0.0055 sigreg=1.1715
epoch=058 lejepa_loss=0.0173 pred=0.0055 sigreg=1.1776
epoch=059 lejepa_loss=0.0173 pred=0.0055 sigreg=1.1790
epoch=060 lejepa_loss=0.0171 pred=0.0055 sigreg=1.1618
epoch=061 lejepa_loss=0.0170 pred=0.0054 sigreg=1.1564
epoch=062 lejepa_loss=0.0172 pred=0.0055 sigreg=1.1692
epoch=063 lejepa_loss=0.0174 pred=0.0057 sigreg=1.1770
epoch=064 lejepa_loss=0.0176 pred=0.0056 sigreg=1.2033
epoch=065 lejepa_loss=0.0177 pred=0.0057 sigreg=1.2052
epoch=066 lejepa_loss=0.0176 pred=0.0058 sigreg=1.1861
epoch=067 lejepa_loss=0.0176 pred=0.0057 sigreg=1.1875
epoch=068 lejepa_loss=0.0174 pred=0.0057 sigreg=1.1630
epoch=069 lejepa_loss=0.0176 pred=0.0058 sigreg=1.1817
epoch=070 lejepa_loss=0.0174 pred=0.0057 sigreg=1.1697
epoch=071 lejepa_loss=0.0173 pred=0.0057 sigreg=1.1549
epoch=072 lejepa_loss=0.0171 pred=0.0056 sigreg=1.1519
epoch=073 lejepa_loss=0.0174 pred=0.0056 sigreg=1.1735
epoch=074 lejepa_loss=0.0170 pred=0.0056 sigreg=1.1318
epoch=075 lejepa_loss=0.0169 pred=0.0056 sigreg=1.1359
epoch=076 lejepa_loss=0.0167 pred=0.0055 sigreg=1.1161
epoch=077 lejepa_loss=0.0164 pred=0.0054 sigreg=1.0971
epoch=078 lejepa_loss=0.0163 pred=0.0054 sigreg=1.0861
epoch=079 lejepa_loss=0.0162 pred=0.0054 sigreg=1.0782
epoch=080 lejepa_loss=0.0162 pred=0.0054 sigreg=1.0784
epoch=081 lejepa_loss=0.0163 pred=0.0054 sigreg=1.0899
epoch=082 lejepa_loss=0.0163 pred=0.0055 sigreg=1.0872
epoch=083 lejepa_loss=0.0162 pred=0.0054 sigreg=1.0815
epoch=084 lejepa_loss=0.0167 pred=0.0055 sigreg=1.1160
epoch=085 lejepa_loss=0.0164 pred=0.0054 sigreg=1.1019
epoch=086 lejepa_loss=0.0163 pred=0.0053 sigreg=1.0905
epoch=087 lejepa_loss=0.0160 pred=0.0053 sigreg=1.0682
epoch=088 lejepa_loss=0.0161 pred=0.0054 sigreg=1.0709
epoch=089 lejepa_loss=0.0160 pred=0.0053 sigreg=1.0666
epoch=090 lejepa_loss=0.0159 pred=0.0052 sigreg=1.0641
epoch=091 lejepa_loss=0.0158 pred=0.0052 sigreg=1.0570
epoch=092 lejepa_loss=0.0157 pred=0.0052 sigreg=1.0520
epoch=093 lejepa_loss=0.0157 pred=0.0052 sigreg=1.0446
epoch=094 lejepa_loss=0.0156 pred=0.0052 sigreg=1.0433
epoch=095 lejepa_loss=0.0156 pred=0.0052 sigreg=1.0417
epoch=096 lejepa_loss=0.0155 pred=0.0052 sigreg=1.0359
epoch=097 lejepa_loss=0.0155 pred=0.0052 sigreg=1.0369
epoch=098 lejepa_loss=0.0154 pred=0.0052 sigreg=1.0270
epoch=099 lejepa_loss=0.0154 pred=0.0052 sigreg=1.0255
epoch=100 lejepa_loss=0.0154 pred=0.0051 sigreg=1.0208
epoch=101 lejepa_loss=0.0154 pred=0.0052 sigreg=1.0218
epoch=102 lejepa_loss=0.0155 pred=0.0052 sigreg=1.0290
epoch=103 lejepa_loss=0.0156 pred=0.0052 sigreg=1.0391
epoch=104 lejepa_loss=0.0154 pred=0.0052 sigreg=1.0252
epoch=105 lejepa_loss=0.0153 pred=0.0052 sigreg=1.0168
epoch=106 lejepa_loss=0.0152 pred=0.0051 sigreg=1.0074
epoch=107 lejepa_loss=0.0152 pred=0.0051 sigreg=1.0064
epoch=108 lejepa_loss=0.0154 pred=0.0052 sigreg=1.0205
epoch=109 lejepa_loss=0.0154 pred=0.0052 sigreg=1.0244
epoch=110 lejepa_loss=0.0153 pred=0.0051 sigreg=1.0173
epoch=111 lejepa_loss=0.0151 pred=0.0051 sigreg=1.0040
epoch=112 lejepa_loss=0.0151 pred=0.0051 sigreg=0.9974
epoch=113 lejepa_loss=0.0150 pred=0.0051 sigreg=0.9891
epoch=114 lejepa_loss=0.0149 pred=0.0050 sigreg=0.9860
epoch=115 lejepa_loss=0.0149 pred=0.0051 sigreg=0.9818
epoch=116 lejepa_loss=0.0148 pred=0.0050 sigreg=0.9819
epoch=117 lejepa_loss=0.0148 pred=0.0050 sigreg=0.9784
epoch=118 lejepa_loss=0.0148 pred=0.0050 sigreg=0.9783
epoch=119 lejepa_loss=0.0148 pred=0.0050 sigreg=0.9751
epoch=120 lejepa_loss=0.0147 pred=0.0050 sigreg=0.9704
epoch=121 lejepa_loss=0.0147 pred=0.0051 sigreg=0.9659
epoch=122 lejepa_loss=0.0147 pred=0.0051 sigreg=0.9627
epoch=123 lejepa_loss=0.0147 pred=0.0051 sigreg=0.9641
epoch=124 lejepa_loss=0.0146 pred=0.0050 sigreg=0.9559
epoch=125 lejepa_loss=0.0145 pred=0.0050 sigreg=0.9519
epoch=126 lejepa_loss=0.0145 pred=0.0050 sigreg=0.9516
epoch=127 lejepa_loss=0.0145 pred=0.0050 sigreg=0.9513
epoch=128 lejepa_loss=0.0145 pred=0.0050 sigreg=0.9531
epoch=129 lejepa_loss=0.0145 pred=0.0050 sigreg=0.9482
epoch=130 lejepa_loss=0.0144 pred=0.0050 sigreg=0.9475
epoch=131 lejepa_loss=0.0144 pred=0.0050 sigreg=0.9459
epoch=132 lejepa_loss=0.0144 pred=0.0050 sigreg=0.9418
epoch=133 lejepa_loss=0.0145 pred=0.0050 sigreg=0.9468
epoch=134 lejepa_loss=0.0144 pred=0.0050 sigreg=0.9441
epoch=135 lejepa_loss=0.0144 pred=0.0050 sigreg=0.9437
epoch=136 lejepa_loss=0.0143 pred=0.0049 sigreg=0.9375
epoch=137 lejepa_loss=0.0143 pred=0.0049 sigreg=0.9355
epoch=138 lejepa_loss=0.0143 pred=0.0049 sigreg=0.9376
epoch=139 lejepa_loss=0.0142 pred=0.0049 sigreg=0.9330
