sample_idx,mode,layer,true_label,pred_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,backbone.layer1,3,3,-0.14239585399627686,0.31572359800338745,0.0866638720035553
1,supervised,backbone.layer1,8,8,0.12076548486948013,0.0726778507232666,0.09672166779637337
2,supervised,backbone.layer1,8,8,0.07219070196151733,0.20070981979370117,0.13645026087760925
3,supervised,backbone.layer1,0,0,-0.19391746819019318,0.33417314291000366,0.07012783735990524
4,supervised,backbone.layer1,6,6,-0.053728725761175156,0.3539198338985443,0.15009555406868458
5,supervised,backbone.layer1,6,6,0.3090306520462036,0.5323458313941956,0.4206882417201996
6,supervised,backbone.layer1,1,1,0.31808122992515564,0.4899675250053406,0.4040243774652481
7,supervised,backbone.layer1,6,6,0.16542521119117737,0.4726729393005371,0.31904907524585724
8,supervised,backbone.layer1,3,3,-0.11206702142953873,0.20326776802539825,0.045600373297929764
9,supervised,backbone.layer1,1,1,0.27377092838287354,0.29121431708335876,0.28249262273311615
10,supervised,backbone.layer1,0,0,-0.14702868461608887,0.3409389853477478,0.09695515036582947
11,supervised,backbone.layer1,9,9,-0.0771421268582344,0.05477340891957283,-0.011184358969330788
12,supervised,backbone.layer1,5,5,0.19050857424736023,0.28079715371131897,0.2356528639793396
13,supervised,backbone.layer1,7,7,0.09033257514238358,0.10001438856124878,0.09517348185181618
14,supervised,backbone.layer1,9,9,-0.08859516680240631,0.038216229528188705,-0.025189468637108803
15,supervised,backbone.layer1,8,8,0.30532509088516235,0.2154352217912674,0.2603801563382149
16,supervised,backbone.layer1,5,5,0.06485070288181305,0.1440127044916153,0.10443170368671417
17,supervised,backbone.layer1,7,7,-0.06328533589839935,0.03976057469844818,-0.011762380599975586
18,supervised,backbone.layer1,8,8,0.278819739818573,0.2315044105052948,0.2551620751619339
19,supervised,backbone.layer1,6,6,-0.0016319826245307922,0.3598948121070862,0.1791314147412777
20,supervised,backbone.layer1,7,7,-0.049211837351322174,0.08704118430614471,0.01891467347741127
21,supervised,backbone.layer1,0,0,-0.17584900557994843,0.3230034410953522,0.07357721775770187
22,supervised,backbone.layer1,4,4,0.05283354967832565,0.044078100472688675,0.048455825075507164
23,supervised,backbone.layer1,9,9,-0.00030956490081734955,0.022931046783924103,0.011310740941553377
24,supervised,backbone.layer1,5,5,0.1949314922094345,0.310928076505661,0.25292978435754776
25,supervised,backbone.layer1,2,2,0.09474042057991028,0.4678090512752533,0.2812747359275818
26,supervised,backbone.layer1,4,4,-0.050621356815099716,0.31984150409698486,0.13461007364094257
27,supervised,backbone.layer1,0,0,0.010411112569272518,0.22460387647151947,0.117507494520396
28,supervised,backbone.layer1,9,9,0.024138884618878365,0.019501684233546257,0.02182028442621231
29,supervised,backbone.layer1,6,6,0.25395646691322327,0.47889450192451477,0.366425484418869
30,supervised,backbone.layer1,6,6,-0.10747119784355164,0.3531949520111084,0.12286187708377838
31,supervised,backbone.layer1,5,5,0.06276187300682068,0.11863833665847778,0.09070010483264923
32,supervised,backbone.layer1,4,4,0.06742190569639206,0.20821884274482727,0.13782037422060966
33,supervised,backbone.layer1,5,5,0.06127914786338806,0.2699390947818756,0.16560912132263184
34,supervised,backbone.layer1,9,9,0.06042678281664848,0.0428897961974144,0.05165828950703144
35,supervised,backbone.layer1,2,2,0.00604168139398098,0.3189203441143036,0.16248101275414228
36,supervised,backbone.layer1,4,4,-0.10372861474752426,0.37709540128707886,0.1366833932697773
37,supervised,backbone.layer1,1,1,0.061589617282152176,0.34299665689468384,0.202293137088418
38,supervised,backbone.layer1,9,9,-0.11338084936141968,0.009754568338394165,-0.051813140511512756
39,supervised,backbone.layer1,5,5,-0.03731374070048332,0.09928978979587555,0.030988024547696114
40,supervised,backbone.layer1,4,4,-0.0784318596124649,0.15806089341640472,0.03981451690196991
41,supervised,backbone.layer1,6,6,-0.045460525900125504,0.25193485617637634,0.10323716513812542
42,supervised,backbone.layer1,5,5,-0.12882544100284576,0.04062879830598831,-0.044098321348428726
43,supervised,backbone.layer1,6,6,0.028536032885313034,0.47209280729293823,0.25031442008912563
44,supervised,backbone.layer1,0,0,0.20907241106033325,0.1594589799642563,0.18426569551229477
45,supervised,backbone.layer1,9,9,-0.041937511414289474,0.02341204509139061,-0.009262733161449432
46,supervised,backbone.layer1,3,3,0.05736210197210312,0.09968496859073639,0.07852353528141975
47,supervised,backbone.layer1,9,8,0.24884995818138123,0.1605510264635086,0.20470049232244492
48,supervised,backbone.layer1,7,7,0.059513308107852936,0.0441959910094738,0.05185464955866337
49,supervised,backbone.layer1,6,6,0.17759957909584045,0.4626144468784332,0.32010701298713684
50,supervised,backbone.layer1,9,9,-0.10800301283597946,0.07209699600934982,-0.01795300841331482
51,supervised,backbone.layer1,8,8,0.15831400454044342,0.13279138505458832,0.14555269479751587
52,supervised,backbone.layer1,0,3,0.09896176308393478,0.14123088121414185,0.12009632214903831
53,supervised,backbone.layer1,3,3,-0.05291511490941048,0.4362033009529114,0.19164409302175045
54,supervised,backbone.layer1,8,8,0.24386903643608093,0.11265173554420471,0.17826038599014282
55,supervised,backbone.layer1,8,8,0.05908434838056564,0.05157363787293434,0.05532899312674999
56,supervised,backbone.layer1,7,7,-0.02906494028866291,0.007678263355046511,-0.0106933384668082
57,supervised,backbone.layer1,7,3,0.2007555365562439,0.2988344430923462,0.24979498982429504
58,supervised,backbone.layer1,4,4,0.19726990163326263,0.07656952738761902,0.13691971451044083
59,supervised,backbone.layer1,6,3,-0.01658392697572708,0.22353556752204895,0.10347582027316093
60,supervised,backbone.layer1,7,7,0.03407742828130722,0.014735248871147633,0.024406338576227427
61,supervised,backbone.layer1,3,5,0.004777298774570227,0.24382606148719788,0.12430168013088405
62,supervised,backbone.layer1,6,6,0.1656019389629364,0.521461546421051,0.3435317426919937
63,supervised,backbone.layer1,3,3,0.0740441307425499,0.10939790308475494,0.09172101691365242
0,supervised,backbone.layer2,3,3,-0.1325271874666214,0.2500850558280945,0.05877893418073654
1,supervised,backbone.layer2,8,8,-0.16339053213596344,0.31554165482521057,0.07607556134462357
2,supervised,backbone.layer2,8,8,0.09373542666435242,0.42952102422714233,0.2616282254457474
3,supervised,backbone.layer2,0,0,-0.09339258819818497,0.18080921471118927,0.04370831325650215
4,supervised,backbone.layer2,6,6,0.19197644293308258,0.5056653022766113,0.34882087260484695
5,supervised,backbone.layer2,6,6,-0.0302443765103817,0.37769854068756104,0.17372708208858967
6,supervised,backbone.layer2,1,1,0.09165027737617493,0.466869592666626,0.27925993502140045
7,supervised,backbone.layer2,6,6,-0.1514476090669632,0.3029825985431671,0.07576749473810196
8,supervised,backbone.layer2,3,3,-0.16607387363910675,0.38643163442611694,0.1101788803935051
9,supervised,backbone.layer2,1,1,0.13061676919460297,0.49808013439178467,0.3143484517931938
10,supervised,backbone.layer2,0,0,0.06303679943084717,0.5147698521614075,0.2889033257961273
11,supervised,backbone.layer2,9,9,0.1071978509426117,0.2584838569164276,0.18284085392951965
12,supervised,backbone.layer2,5,5,0.3710801601409912,0.311511754989624,0.3412959575653076
13,supervised,backbone.layer2,7,7,0.44737234711647034,0.46473899483680725,0.4560556709766388
14,supervised,backbone.layer2,9,9,0.11727603524923325,0.31763121485710144,0.21745362505316734
15,supervised,backbone.layer2,8,8,0.09464681148529053,0.3057574927806854,0.20020215213298798
16,supervised,backbone.layer2,5,5,-0.01735921949148178,0.2725299000740051,0.12758534029126167
17,supervised,backbone.layer2,7,7,0.2695276141166687,0.37624797224998474,0.3228877931833267
18,supervised,backbone.layer2,8,8,-0.28226563334465027,0.2187238335609436,-0.03177089989185333
