sample_idx,mode,layer,true_label,pred_label,corr_pca_xai,soft_iou_pca_xai,lsas
0,supervised,backbone.layer1,3,3,-0.1421230584383011,0.316493958234787,0.08718544989824295
0,supervised,backbone.layer2,3,3,-0.13400225341320038,0.25120604038238525,0.05860189348459244
0,supervised,backbone.layer3,3,3,0.23626749217510223,0.34994620084762573,0.293106846511364
0,supervised,backbone.layer4,3,3,0.49653834104537964,0.6201513409614563,0.558344841003418
1,supervised,backbone.layer1,8,8,0.12155971676111221,0.07296700775623322,0.09726336225867271
1,supervised,backbone.layer2,8,8,-0.1622842401266098,0.3155963122844696,0.0766560360789299
1,supervised,backbone.layer3,8,8,0.08770139515399933,0.46147623658180237,0.27458881586790085
1,supervised,backbone.layer4,8,8,0.26795223355293274,0.5959801077842712,0.431966170668602
2,supervised,backbone.layer1,8,8,0.07221347093582153,0.20149458944797516,0.13685403019189835
2,supervised,backbone.layer2,8,8,0.09379417449235916,0.4295498728752136,0.2616720236837864
2,supervised,backbone.layer3,8,8,-0.007672579027712345,0.4818435609340668,0.2370854909531772
2,supervised,backbone.layer4,8,8,0.4206925928592682,0.6626988649368286,0.5416957288980484
3,supervised,backbone.layer1,0,0,-0.1941550076007843,0.3345543444156647,0.07019966840744019
3,supervised,backbone.layer2,0,0,-0.09295955300331116,0.1814962476491928,0.044268347322940826
3,supervised,backbone.layer3,0,0,0.1375834047794342,0.3232431709766388,0.2304132878780365
3,supervised,backbone.layer4,0,0,-0.004853430204093456,0.47764521837234497,0.23639589408412576
4,supervised,backbone.layer1,6,6,-0.052541665732860565,0.35270705819129944,0.15008269622921944
4,supervised,backbone.layer2,6,6,0.1930726021528244,0.5060206055641174,0.3495466038584709
4,supervised,backbone.layer3,6,6,0.2728576958179474,0.4115700423717499,0.34221386909484863
4,supervised,backbone.layer4,6,6,0.23323142528533936,0.47155648469924927,0.3523939549922943
5,supervised,backbone.layer1,6,6,0.3098103106021881,0.5332416892051697,0.4215259999036789
5,supervised,backbone.layer2,6,6,-0.03050648607313633,0.37757906317710876,0.17353628855198622
5,supervised,backbone.layer3,6,6,-0.11462408304214478,0.42604559659957886,0.15571075677871704
5,supervised,backbone.layer4,6,6,0.47043806314468384,0.5876113772392273,0.5290247201919556
6,supervised,backbone.layer1,1,1,0.31781983375549316,0.4905426800251007,0.40418125689029694
6,supervised,backbone.layer2,1,1,0.09193123131990433,0.4668270945549011,0.2793791629374027
6,supervised,backbone.layer3,1,1,0.5610374212265015,0.427962988615036,0.49450020492076874
6,supervised,backbone.layer4,1,1,0.15150661766529083,0.5338983535766602,0.3427024856209755
7,supervised,backbone.layer1,6,6,0.16600245237350464,0.47258731722831726,0.31929488480091095
7,supervised,backbone.layer2,6,6,-0.1510608196258545,0.3029310405254364,0.07593511044979095
7,supervised,backbone.layer3,6,6,0.09887755662202835,0.4549371004104614,0.2769073285162449
7,supervised,backbone.layer4,6,6,0.16007225215435028,0.5138845443725586,0.33697839826345444
8,supervised,backbone.layer1,3,3,-0.11185291409492493,0.20414496958255768,0.046146027743816376
8,supervised,backbone.layer2,3,3,-0.16588595509529114,0.3860732316970825,0.11009363830089569
8,supervised,backbone.layer3,3,3,0.030970191583037376,0.37910962104797363,0.2050399063155055
8,supervised,backbone.layer4,3,3,0.5202288627624512,0.6320692896842957,0.5761490762233734
9,supervised,backbone.layer1,1,1,0.27623704075813293,0.2918053865432739,0.28402121365070343
9,supervised,backbone.layer2,1,1,0.13034093379974365,0.4976276159286499,0.3139842748641968
